tarih,deger_(kwh)
2015-01-31,611232.0
2015-02-28,615826.0
2015-03-31,957527.0
2015-04-30,920036.54
2015-05-31,928773.29
2015-06-30,738623.36
2015-07-31,803861.06
2015-08-31,948642.02
2015-09-30,755666.52
2015-10-31,752889.0
2015-11-30,795276.7
2015-12-31,674220.53
2016-01-31,519189.75
2016-02-29,471734.36
2016-03-31,663517.23
2016-04-30,663109.68
2016-05-31,693536.24
2016-06-30,597641.51
2016-07-31,550308.16
2016-08-31,474594.79
2016-09-30,738287.5
2016-10-31,6196131.0
2016-11-30,5447826.0
2016-12-31,8876367.0
2017-01-31,864165.0
2017-02-28,697659.0
2017-03-31,907365.0
2017-04-30,738304.0
2017-05-31,724670.0
2017-06-30,680726.0
2017-07-31,308717.0
2017-08-31,697879.4
2017-09-30,562325.5
2017-10-31,842588.1
2017-11-30,988507.8
2017-12-31,1133366.4
2018-01-31,582829.0
2018-02-28,387462.0
2018-03-31,361152.0
2018-04-30,308616.0
2018-05-31,68434.0
