_id,donem,ruhsat_sayisi
1,2008-04-01T00:00:00,241
2,2009-01-01T00:00:00,285
3,2009-05-01T00:00:00,649
4,2012-01-01T00:00:00,51
5,2009-10-01T00:00:00,476
6,2010-02-01T00:00:00,145
7,2010-11-01T00:00:00,375
8,2012-03-01T00:00:00,214
9,2012-04-01T00:00:00,672
10,2012-09-01T00:00:00,433
11,2013-05-01T00:00:00,531
12,2013-06-01T00:00:00,532
13,2013-02-01T00:00:00,109
14,2014-07-01T00:00:00,251
15,2019-12-01T00:00:00,449
16,2016-07-01T00:00:00,359
17,2017-03-01T00:00:00,416
18,2018-01-01T00:00:00,116
19,2019-04-01T00:00:00,2452
20,2018-10-01T00:00:00,1309
21,2019-11-01T00:00:00,1489
22,2020-07-01T00:00:00,2043
23,2020-06-01T00:00:00,2329
24,2008-07-01T00:00:00,685
25,2009-06-01T00:00:00,602
26,2009-02-01T00:00:00,411
27,2010-03-01T00:00:00,595
28,2010-01-01T00:00:00,141
29,2011-01-01T00:00:00,122
30,2011-05-01T00:00:00,549
31,2011-09-01T00:00:00,225
32,2012-11-01T00:00:00,437
33,2013-08-01T00:00:00,229
34,2014-05-01T00:00:00,566
35,2014-04-01T00:00:00,468
36,2014-06-01T00:00:00,398
37,2014-12-01T00:00:00,278
38,2018-09-01T00:00:00,1473
39,2019-02-01T00:00:00,182
40,2018-11-01T00:00:00,1017
41,2020-01-01T00:00:00,248
42,2008-09-01T00:00:00,487
43,2010-08-01T00:00:00,384
44,2012-06-01T00:00:00,508
45,2012-10-01T00:00:00,536
46,2011-07-01T00:00:00,361
47,2011-08-01T00:00:00,437
48,2011-10-01T00:00:00,443
49,2012-12-01T00:00:00,94
50,2013-09-01T00:00:00,396
51,2015-10-01T00:00:00,519
52,2015-09-01T00:00:00,335
53,2016-05-01T00:00:00,680
54,2016-11-01T00:00:00,426
55,2016-10-01T00:00:00,491
56,2016-08-01T00:00:00,450
57,2016-01-01T00:00:00,4
58,2018-05-01T00:00:00,874
59,2017-09-01T00:00:00,529
60,2017-08-01T00:00:00,705
61,2019-01-01T00:00:00,137
62,2009-03-01T00:00:00,361
63,2008-10-01T00:00:00,505
64,2010-10-01T00:00:00,318
65,2010-05-01T00:00:00,608
66,2010-04-01T00:00:00,522
67,2014-03-01T00:00:00,361
68,2014-08-01T00:00:00,276
69,2015-04-01T00:00:00,692
70,2015-05-01T00:00:00,563
71,2015-03-01T00:00:00,311
72,2015-06-01T00:00:00,452
73,2015-07-01T00:00:00,456
74,2016-06-01T00:00:00,430
75,2017-02-01T00:00:00,60
76,2017-10-01T00:00:00,775
77,2017-11-01T00:00:00,524
78,2018-04-01T00:00:00,838
79,2021-01-01T00:00:00,96
80,2019-10-01T00:00:00,1759
81,2020-08-01T00:00:00,2303
82,2020-09-01T00:00:00,2280
83,2020-11-01T00:00:00,2454
84,2008-05-01T00:00:00,519
85,2010-09-01T00:00:00,291
86,2011-03-01T00:00:00,496
87,2011-11-01T00:00:00,660
88,2011-12-01T00:00:00,97
89,2012-08-01T00:00:00,227
90,2013-03-01T00:00:00,416
91,2013-10-01T00:00:00,272
92,2014-02-01T00:00:00,162
93,2014-01-01T00:00:00,60
94,2015-08-01T00:00:00,435
95,2015-11-01T00:00:00,832
96,2016-03-01T00:00:00,528
97,2017-01-01T00:00:00,21
98,2017-07-01T00:00:00,757
99,2018-06-01T00:00:00,670
100,2019-05-01T00:00:00,2025
101,2019-08-01T00:00:00,1851
102,2020-04-01T00:00:00,1226
103,2020-03-01T00:00:00,1049
104,2019-07-01T00:00:00,2209
105,2021-02-01T00:00:00,340
106,2020-02-01T00:00:00,317
107,2021-03-01T00:00:00,147
108,2008-06-01T00:00:00,638
109,2009-04-01T00:00:00,842
110,2011-02-01T00:00:00,178
111,2012-05-01T00:00:00,591
112,2011-06-01T00:00:00,509
113,2013-01-01T00:00:00,51
114,2013-07-01T00:00:00,359
115,2014-11-01T00:00:00,509
116,2015-12-01T00:00:00,141
117,2018-03-01T00:00:00,707
118,2018-12-01T00:00:00,114
119,2019-09-01T00:00:00,1922
120,2019-03-01T00:00:00,858
121,2020-12-01T00:00:00,605
122,2008-08-01T00:00:00,400
123,2009-07-01T00:00:00,531
124,2009-08-01T00:00:00,558
125,2008-12-01T00:00:00,56
126,2010-07-01T00:00:00,403
127,2009-09-01T00:00:00,130
128,2009-12-01T00:00:00,85
129,2013-04-01T00:00:00,502
130,2013-11-01T00:00:00,602
131,2013-12-01T00:00:00,283
132,2014-10-01T00:00:00,173
133,2014-09-01T00:00:00,355
134,2015-01-01T00:00:00,31
135,2016-02-01T00:00:00,120
136,2017-05-01T00:00:00,766
137,2017-06-01T00:00:00,689
138,2017-12-01T00:00:00,153
139,2018-07-01T00:00:00,1147
140,2019-06-01T00:00:00,1412
141,2020-05-01T00:00:00,961
142,2008-11-01T00:00:00,222
143,2012-02-01T00:00:00,38
144,2009-11-01T00:00:00,263
145,2010-06-01T00:00:00,559
146,2010-12-01T00:00:00,131
147,2011-04-01T00:00:00,508
148,2012-07-01T00:00:00,428
149,2015-02-01T00:00:00,78
150,2016-04-01T00:00:00,584
151,2016-09-01T00:00:00,325
152,2016-12-01T00:00:00,66
153,2017-04-01T00:00:00,705
154,2018-02-01T00:00:00,219
155,2018-08-01T00:00:00,1175
156,2020-10-01T00:00:00,2917
