ilcesi,2015_egitim_verilen_mahalle_sayisi,2015_kursiyer_sayisi,2016_egitim_verilen_mahalle_sayisi,2016_kursiyer_sayisi,2017_egitim_verilen_mahalle_sayisi,2017_kursiyer_sayisi,2018_egitim_verilen_mahalle_sayisi,2018_kursiyer_sayisi,2019_egitim_verilen_mahalle_sayisi,2019_kursiyer_sayisi,2020_egitim_verilen_mahalle_sayisi,2020_kursiyer_sayisi,2021_egitim_verilen_mahalle_sayisi,2021_kursiyer_sayisi,toplam_egitim_verilen_mahalle_sayisi,toplam_kursiyer_sayisi
AHIRLI,10,973,8,629,6,214,4,168,1,36,2,34,3,3,34,2057
AKÖREN,9,619,9,621,5,344,6,262,4,235,11,277,6,63,50,2421
AKŞEHİR,12,1754,23,1709,19,1426,20,1334,13,636,14,386,12,128,113,7373
ALTINEKİN,10,1407,12,380,6,238,5,156,4,152,4,75,0,0,41,2408
BEYŞEHİR,23,2207,32,2226,21,1317,24,1564,20,1491,16,353,14,210,150,9368
BOZKIR,17,1518,17,1005,15,790,13,464,9,429,14,243,20,271,105,472
CİHANBEYLİ,8,510,18,1426,6,240,5,200,1,22,3,74,4,38,45,251
ÇELTİK,4,176,5,671,3,92,1,60,1,39,2,16,1,4,17,1058
ÇUMRA,10,1486,25,1493,14,1115,19,671,6,331,9,300,16,159,99,5555
DERBENT,6,490,10,834,7,440,5,175,2,76,5,250,2,17,37,2282
DEREBUCAK,5,505,10,1022,5,234,5,291,2,115,2,63,1,47,30,2277
DOĞANHİSAR,12,1831,17,1438,14,1774,13,1555,9,541,9,324,9,167,83,763
EMİRGAZİ,4,783,7,743,1,150,3,191,4,120,1,24,3,12,23,2023
EREĞLİ,13,1051,13,938,8,381,6,390,6,492,8,133,9,85,63,347
GÜNEYSINIR,11,1086,12,825,9,314,9,536,6,310,6,308,4,38,57,3417
HADİM,16,1319,18,704,16,687,6,182,8,363,7,132,6,63,77,345
HALKAPINAR,6,985,9,272,10,384,5,176,3,110,3,96,3,79,39,2102
HÜYÜK,16,16,16,1775,17,1516,18,1086,14,1022,14,528,11,204,106,7731
ILGIN,16,1491,25,1827,15,887,19,1199,11,524,8,251,6,47,100,6226
KADINHANI,8,245,18,1084,11,430,15,831,12,824,6,73,8,76,78,3563
KARAPINAR,9,771,16,1018,8,492,4,172,4,167,7,187,4,107,52,2914
KARATAY,5,320,5,1097,3,168,8,2022,6,1945,11,1203,11,539,49,8806
KULU,3,65,14,898,9,310,5,108,4,168,7,133,7,126,49,1808
MERAM,28,1872,18,2007,20,2983,23,3008,13,2382,16,1043,26,568,144,13863
SARAYÖNÜ,11,692,13,1482,12,515,8,208,5,152,4,95,7,100,60,3244
SELÇUKLU,9,470,13,1717,9,1466,11,2579,8,2545,8,1028,7,796,65,10601
SEYDİŞEHİR,13,1845,27,1586,12,701,22,1337,17,955,13,177,16,96,120,6697
TAŞKENT,8,774,8,553,4,152,3,102,1,26,4,49,1,53,29,1709
TUZLUKÇU,2,110,8,754,1,73,2,180,1,43,2,164,2,5,18,1329
YALIHÜYÜK,3,159,2,282,2,68,2,50,1,50,3,73,3,25,16,707
YUNAK,7,385,11,876,3,102,1,48,1,20,3,39,5,41,31,1511
