_id,tarih,gun,saat,oyun,doluluk_orani,izleyici_sayisi
1,2021-07-28T00:00:00,Çarşamba,20.30,Misafir,36%,274
2,2021-04-08T00:00:00,Çarşamba,20.30,Misafir,43%,326
3,2021-11-08T00:00:00,Çarşamba,20.30,Mavi Kuş,50%,379
4,2021-08-18T00:00:00,Çarşamba,20.30,Mavi Kuş,51%,384
5,2021-08-25T00:00:00,Çarşamba,20.30,Misafir,50%,378
6,2021-03-09T00:00:00,Cuma,20.00,Mavi Kuş,35%,268
7,2021-04-09T00:00:00,Cumartesi,20.00,Mavi Kuş,36%,272
8,2021-10-09T00:00:00,Cuma,20.00,Amak-ı Hayal,33%,249
9,2021-11-09T00:00:00,Cumartesi,20.00,Amak-ı Hayal,24%,182
10,2021-09-17T00:00:00,Cuma,20.00,Amak-ı Hayal,33%,248
11,2021-09-18T00:00:00,Cumartesi,20.00,Amak-ı Hayal,27%,207
12,2021-09-24T00:00:00,Cuma,20.00,Misafir,35%,269
13,2021-09-25T00:00:00,Cumartesi,20.00,Misafir,35%,267
14,2021-01-10T00:00:00,Cuma,20.00,Amak-ı Hayal,33%,255
15,2021-02-10T00:00:00,Cumartesi,20.00,Amak-ı Hayal,29%,221
16,2021-08-10T00:00:00,Cuma,20.00,Mavi Kuş,35%,267
17,2021-09-10T00:00:00,Cumartesi,20.00,Mavi Kuş,35%,269
18,2021-10-29T00:00:00,Cuma,20.00,Misafir (Cimri),34%,266
19,2021-10-30T00:00:00,Cumartesi,20.00,Misafir (Cimri),33%,257
20,2021-05-11T00:00:00,Cuma,20.00,Suç ve Ceza,100%,751
21,2021-06-11T00:00:00,Cumartesi,20.00,Suç ve Ceza,100%,751
22,2021-12-11T00:00:00,Cuma,20.00,Suç ve Ceza ,100%,751
23,2021-11-13T00:00:00,Cumartesi,20.00,Suç ve Ceza ,100%,751
24,2021-11-19T00:00:00,Cuma,20.00,Mavi Kuş,100%,751
25,2021-11-20T00:00:00,Cumartesi,20.00,Mavi Kuş,100%,751
26,2021-11-26T00:00:00,Cuma,20.00,Cimri,100%,751
27,2021-11-27T00:00:00,Cumartesi,20.00,Cimri,101%,755
28,2021-11-30T00:00:00,Salı,10.30 - 13.30,Küçük Kara Balık,50%,819
29,2021-03-12T00:00:00,Cuma,19.00,Cimri,100%,754
30,2021-04-12T00:00:00,Cumartesi,15.00 - 19.00,Cimri,97%,1459
31,2021-07-12T00:00:00,Salı,10.30 - 13.30,Küçük Kara Balık,59%,888
32,2021-10-12T00:00:00,Cuma,19.00,Kamyon,92%,694
33,2012-11-12T00:00:00,Cumartesi,15.00 - 19.00,Kamyon,70%,1057
34,2021-12-18T00:00:00,Cuma,19.00,Misafir (İL GÖÇ İDARESİ),100%,751
35,2021-12-21T00:00:00,Salı,10.30 - 13.30,Küçük Kara Balık,7%,116
36,2021-12-24T00:00:00,Cuma,19.00,Kamyon,82%,623
37,2021-12-25T00:00:00,Cumartesi,15.00 - 19.00,Kamyon,65%,986
38,2021-12-28T00:00:00,Salı,10.30 - 13.30,Küçük Kara Balık,80%,1201
39,2021-12-30T00:00:00,Cuma,19.00,Mavi Kuş,100%,751
40,2021-12-31T00:00:00,Cumartesi,15.00 - 19.00,Mavi Kuş,87%,655
