_id,no,ucretsiz_wifi_noktalari_adi,1.erisim_koordinat,2._erisim_koordinat
1,1,Eski SGK Binası,"37.870055, 32.482229",""
2,2,Başkanlık Özel Kalem (Alman Evleri),"37.869196, 32.477103",""
3,3,Elkart Müdürlüğü,"37.873734, 32.487142",""
4,4,Fen İşleri Daire Başkanlığı,"37.937266, 32.512032",""
5,5,Millet Kıraathanesi,"37.874856, 32.489072",""
6,6,İrfan Medeniyeti Araştırma Merkezi,"37.870301, 32.511059",""
7,7,KültürPark Zabıta,"37.875132, 32.487602",""
8,8,Mezar Taşları Müzesi,"37.867368, 32.512122",""
9,9,Mevlana Kültür Merkezi,"37.869484, 32.515774",""
10,10,Park Bahçe Daire Başkanlığı İdari Bina,"37.902135, 32.498297",""
11,11,Raylı Sistem Daire Başkanlığı,"37.918236, 32.507006",""
12,12,Tarımsal Hizmetler,"37.874255, 32.486216",""
13,13,Tatlıcak Tesisleri,"37.868926, 32.573669",""
14,14,Aydınlık İtfaiye,"37.916712, 32.490956",""
15,15,Hayvan Pazarı,"37.869902, 32.554194",""
16,16,Kültürpark Kadem,"37.876104, 32.490703",""
17,17,Kılıçarslan Toplantı Salonu,"37.875666, 32.490966",""
18,18,Koyunoğlu Müzesi,"37.866228, 32.510781",""
19,19,Sanat Galerisi,"37.873066, 32.487191",""
20,20,Hava Hastanesi,"37.869985, 32.482231",""
21,21,Ecdat Parkı Müdüriyet,"37.95188850500175, 32.50039575331569","37.953332423149085, 32.500958172801525"
22,22,Kültürpark,"37.873738932422484, 32.48924876895429","37.87460745936114, 32.4886610455857"
23,23,Meram Tarihi Köprü,"37.85334033974997, 32.42142448891697",""
24,24,Forum Caddesi,"37.87063442801936, 32.48561672001946",""
25,25,Hızlı Tren Önü,"37.86734144160687, 32.47658042351505",""
26,26,Kayalıpark,"37.87170661832277, 32.49833193693298",""
27,27,Karatay Terminali,"37.86678422303372, 32.50170561676521",""
28,28,Meram Eğitim Araştırma Hastanesi Önü,"37.86171654283621, 32.44572580508325",""
29,29,Kent Meydanı,"37.87516595672724, 32.49167487284137",""
30,30,Mevlana Meydanı,"37.870855082909436, 32.50431617506748",""
31,31,Zafer Yaya Yolu,"37.87064082823526, 32.48986893475428",""
32,32,Otogar,"37.95042437006596, 32.50952694277962",""
33,33,Akyokuş - Kafem,"37.88040816751195, 32.42612179521131",""
34,34,Japon Parkı - Kafem,"37.978549778081394, 32.518478090168486","37.97833965574564, 32.51981645652727"
35,35,Makro Kafem,"37.87872523736645, 32.48530722453434",""
36,36,Karaaslan Hadimi Park,"37.80870887076795, 32.516562123824585",""
37,37,Kozağaç Park,"37.80670309047129, 32.42778582891994","37.8057080940925, 32.426848904553644"
38,38,Aymanas Komek,"37.848744, 32.498631",""
39,39,Selçuklu Asem,"37.895602, 32.477190",""
40,40,Alaaddin Komek,"37.872128, 32.494549",""
41,41,Mümine Hatun,"37.931958, 32.501502",""
42,42,Bosna Komek,"38.010700, 32.530974",""
43,43,Keykavus Kütüphane,"37.879295, 32.485589",""
44,44,Meram Asem,"37.856507, 32.431197",""
45,45,Akkise Komek,"37.239062, 32.120853",""
46,46,Akşehir Asem,"38.354544, 31.429674",""
47,47,Akşehir Komek,"38.349212, 31.418137",""
48,48,Araplar Komek,"37.889448, 32.508145",""
49,49,Bozkır Asem,"37.187823, 32.242058",""
50,50,Bozkır Komek,"37.189622, 32.244784",""
51,51,Cihanbeyli Komek,"38.655464, 32.920343",""
52,52,Çumra Asem,"37.574086, 32.782219",""
53,53,Doğanhisar Komek,"38.146376, 31.676871",""
54,54,Emirgazi Komek,"37.903430, 33.836010",""
55,55,Ereğli Kıraathane,"37.511850, 34.049780",""
56,56,Ereğli Asem,"37.505431, 34.053787",""
57,57,Ereğli Komek,"37.512437, 34.055582",""
58,58,Ertuğrul Gazi Komek,"37.840471, 32.487132",""
59,59,Gödene Toki Komek,"37.740313, 32.402729",""
60,60,Harmancık Komek,"37.836825, 32.454778",""
61,61,Hüyük Asem,"37.949807, 31.596402",""
62,62,Hüyük Komek,"37.949776, 31.596511",""
63,63,İçeri Çumra Komek,"37.579941, 32.659890",""
64,64,Ilgın Asem,"38.279433, 31.912491",""
65,65,Ilgın Komek,"38.281687, 31.917967",""
66,66,Kadınhanı Komek,"38.239784, 32.225987",""
67,67,Karapınar Komek,"37.716994, 33.548558",""
68,68,Karatay Asem,"37.898192, 32.521222",""
69,69,Karatay Komek,"37.874523, 32.539463",""
70,70,Kulu Asem,"39.092946, 33.077440",""
71,71,Kulu Komek,"39.091908, 33.075225",""
72,72,Mengene Asem,"37.859999, 32.508369",""
73,73,Sancak Komek,"37.958793, 32.524315",""
74,74,Sarayönü Komek,"38.265044, 32.399592",""
75,75,Yalıhüyük Asem,"37.297530, 32.086059",""
76,76,Yunak Komek,"38.811246, 31.737223",""
77,77,Alakova Komek,"37.773056, 32.500741",""
78,78,Bilim Merkezi,"37.987429, 32.593510",""
79,79,Bosna Gençlik Merkezi,"38.008588, 32.520797",""
80,80,Büyükşehir Hastanesi,"37.878105, 32.488765",""
